session_id,segment_id,person_slot,expected_pose,expected_subpose,expected_distance_m,expected_position,start_time_s,end_time_s,label_confidence,assigned_tid,assignment_confidence,notes,duration_s,expected_frames,track_frames,pose_frames,tracking_presence_rate,pose_presence_rate,NO_POINTS_rate,LOW_POINTS_rate,OK_rate,gap_count_gt_1s,tid_switch_count,range_jump_count,ui_visible_rate,render_confirmed,segment_quality
session_20260706_173741,standing_center_1m,center,STANDING,STANDING,1.0,CENTER,8.000,69.183,MEDIUM,0,HIGH,standing center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1113},61.183,1117,1113,1113,0.9964,0.9964,0.3064,0.8643,0.0836,0,0,0,0.0,False,MEDIUM
session_20260706_173741,standing_center_2m,center,STANDING,STANDING,2.0,CENTER,75.183,136.367,MEDIUM,0,HIGH,standing center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1112},61.184,1111,1112,1112,1.0009,1.0009,0.5288,0.8678,0.116,0,0,0,0.0,False,MEDIUM
session_20260706_173741,standing_center_3m,center,STANDING,STANDING,3.0,CENTER,142.367,203.550,MEDIUM,0,HIGH,standing center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1113},61.183,1112,1113,1113,1.0009,1.0009,0.8464,0.9829,0.0153,0,0,0,0.0,False,MEDIUM
session_20260706_173741,standing_center_4m,center,STANDING,STANDING,4.0,CENTER,209.550,270.733,MEDIUM,0,HIGH,standing center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1112},61.183,1112,1112,1112,1.0,1.0,0.8849,0.9928,0.0072,0,0,0,0.0,False,MEDIUM
session_20260706_173741,standing_center_5m,center,STANDING,STANDING,5.0,CENTER,276.733,337.917,MEDIUM,1,MEDIUM,"standing center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=0.513; tid_counts={0: 492, 1: 519}",61.184,1113,519,519,0.4663,0.4663,0.7688,0.9538,0.0135,0,1,0,0.0,False,MEDIUM
session_20260706_173741,standing_right_1m,right,STANDING,STANDING,1.0,RIGHT,343.917,405.100,MEDIUM,2,MEDIUM,"standing right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=0.725; tid_counts={1: 410, 2: 1080}",61.183,1084,1080,1080,0.9963,0.9963,0.7213,0.9685,0.0269,0,1,0,0.0,False,MEDIUM
session_20260706_173741,standing_right_2m,right,STANDING,STANDING,2.0,RIGHT,411.100,472.283,MEDIUM,2,HIGH,standing right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1146},61.183,1143,1146,1146,1.0026,1.0026,0.6815,0.8997,0.0716,0,0,0,0.0,False,MEDIUM
session_20260706_173741,standing_right_3m,right,STANDING,STANDING,3.0,RIGHT,478.283,539.467,MEDIUM,2,HIGH,standing right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1113},61.184,1112,1113,1113,1.0009,1.0009,0.7206,0.9335,0.0404,0,0,0,0.0,False,MEDIUM
session_20260706_173741,standing_right_4m,right,STANDING,STANDING,4.0,RIGHT,545.467,606.650,MEDIUM,2,HIGH,standing right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1112},61.183,1113,1112,1112,0.9991,0.9991,0.8759,0.9928,0.0045,1,0,0,0.0,False,MEDIUM
session_20260706_173741,standing_right_5m,right,STANDING,STANDING,5.0,RIGHT,612.650,673.833,MEDIUM,2,HIGH,standing right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1112},61.183,1112,1112,1112,1.0,1.0,0.8651,0.9487,0.0396,0,0,0,0.0,False,MEDIUM
session_20260706_173741,standing_left_1m,left,STANDING,STANDING,1.0,LEFT,679.833,741.017,MEDIUM,2,HIGH,standing left side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1114},61.184,1113,1114,1114,1.0009,1.0009,0.6409,0.7406,0.2083,0,0,0,0.0,False,MEDIUM
