session_id,segment_id,person_slot,assigned_tid,event_type,severity,start_time_s,end_time_s,detail
sitting_relative_gate_refined_live_test,leanforward_1m,center,11,LOW_POINTS,LOW,1207.996,1234.170,LOW_POINTS_rate=0.939
sitting_relative_gate_refined_live_test,leanforward_1m,center,11,RENDER_NOT_CONFIRMED,LOW,1207.996,1234.170,no per-row render visibility field available in mmWave pose logs
sitting_relative_gate_refined_live_test,leanforward_2m,center,11,NO_POINTS,MEDIUM,1240.200,1278.767,NO_POINTS_rate=0.913
sitting_relative_gate_refined_live_test,leanforward_2m,center,11,LOW_POINTS,LOW,1240.200,1278.767,LOW_POINTS_rate=0.967
sitting_relative_gate_refined_live_test,leanforward_2m,center,11,RENDER_NOT_CONFIRMED,LOW,1240.200,1278.767,no per-row render visibility field available in mmWave pose logs
sitting_relative_gate_refined_live_test,leanforward_3m,center,12,NO_POINTS,MEDIUM,1318.334,1364.520,NO_POINTS_rate=0.955
sitting_relative_gate_refined_live_test,leanforward_3m,center,12,LOW_POINTS,LOW,1318.334,1364.520,LOW_POINTS_rate=0.990
sitting_relative_gate_refined_live_test,leanforward_3m,center,12,RENDER_NOT_CONFIRMED,LOW,1318.334,1364.520,no per-row render visibility field available in mmWave pose logs
sitting_relative_gate_refined_live_test,leanforward_4m,center,13,NO_POINTS,MEDIUM,1403.470,1432.177,NO_POINTS_rate=0.971
sitting_relative_gate_refined_live_test,leanforward_4m,center,13,LOW_POINTS,LOW,1403.470,1432.177,LOW_POINTS_rate=0.987
sitting_relative_gate_refined_live_test,leanforward_4m,center,13,RENDER_NOT_CONFIRMED,LOW,1403.470,1432.177,no per-row render visibility field available in mmWave pose logs
sitting_relative_gate_refined_live_test,leanforward_5m,center,14,NO_POINTS,MEDIUM,1480.633,1504.587,NO_POINTS_rate=0.984
sitting_relative_gate_refined_live_test,leanforward_5m,center,14,LOW_POINTS,LOW,1480.633,1504.587,LOW_POINTS_rate=1.000
sitting_relative_gate_refined_live_test,leanforward_5m,center,14,RENDER_NOT_CONFIRMED,LOW,1480.633,1504.587,no per-row render visibility field available in mmWave pose logs
session_20260704_145249,standing_1m,left_person,0,TRACK_MISSING,MEDIUM,8.000,77.352,tracking_presence_rate=0.603
session_20260704_145249,standing_1m,left_person,0,POSE_ROW_MISSING,MEDIUM,8.000,77.352,pose_presence_rate=0.603
session_20260704_145249,standing_1m,left_person,0,TID_SWITCH_OR_COMPETING_TID,MEDIUM,8.000,77.352,"competing tids={0: 762, 1: 1261, 2: 492}"
session_20260704_145249,standing_1m,left_person,0,NO_POINTS,MEDIUM,8.000,77.352,NO_POINTS_rate=0.638
session_20260704_145249,standing_1m,left_person,0,LOW_POINTS,LOW,8.000,77.352,LOW_POINTS_rate=0.825
session_20260704_145249,standing_1m,left_person,0,RENDER_NOT_CONFIRMED,LOW,8.000,77.352,no per-row render visibility field available in mmWave pose logs
session_20260704_145249,standing_1m,right_person,1,TID_SWITCH_OR_COMPETING_TID,MEDIUM,8.000,77.352,"competing tids={0: 762, 1: 1261, 2: 492}"
session_20260704_145249,standing_1m,right_person,1,NO_POINTS,MEDIUM,8.000,77.352,NO_POINTS_rate=0.797
session_20260704_145249,standing_1m,right_person,1,LOW_POINTS,LOW,8.000,77.352,LOW_POINTS_rate=0.960
session_20260704_145249,standing_1m,right_person,1,RENDER_NOT_CONFIRMED,LOW,8.000,77.352,no per-row render visibility field available in mmWave pose logs
session_20260704_145249,standing_2m,left_person,2,TID_SWITCH_OR_COMPETING_TID,MEDIUM,83.352,152.703,"competing tids={1: 1261, 2: 1261}"
session_20260704_145249,standing_2m,left_person,2,NO_POINTS,MEDIUM,83.352,152.703,NO_POINTS_rate=0.583
session_20260704_145249,standing_2m,left_person,2,LOW_POINTS,LOW,83.352,152.703,LOW_POINTS_rate=0.915
session_20260704_145249,standing_2m,left_person,2,RENDER_NOT_CONFIRMED,LOW,83.352,152.703,no per-row render visibility field available in mmWave pose logs
session_20260704_145249,standing_2m,right_person,1,TID_SWITCH_OR_COMPETING_TID,MEDIUM,83.352,152.703,"competing tids={1: 1261, 2: 1261}"
session_20260704_145249,standing_2m,right_person,1,NO_POINTS,MEDIUM,83.352,152.703,NO_POINTS_rate=0.805
session_20260704_145249,standing_2m,right_person,1,LOW_POINTS,LOW,83.352,152.703,LOW_POINTS_rate=0.963
session_20260704_145249,standing_2m,right_person,1,RENDER_NOT_CONFIRMED,LOW,83.352,152.703,no per-row render visibility field available in mmWave pose logs
session_20260704_145249,standing_3m,left_person,2,TID_SWITCH_OR_COMPETING_TID,MEDIUM,158.703,228.055,"competing tids={1: 1260, 2: 1260}"
session_20260704_145249,standing_3m,left_person,2,NO_POINTS,MEDIUM,158.703,228.055,NO_POINTS_rate=0.565
session_20260704_145249,standing_3m,left_person,2,LOW_POINTS,LOW,158.703,228.055,LOW_POINTS_rate=0.944
session_20260704_145249,standing_3m,left_person,2,RENDER_NOT_CONFIRMED,LOW,158.703,228.055,no per-row render visibility field available in mmWave pose logs
session_20260704_145249,standing_3m,right_person,1,TID_SWITCH_OR_COMPETING_TID,MEDIUM,158.703,228.055,"competing tids={1: 1260, 2: 1260}"
session_20260704_145249,standing_3m,right_person,1,NO_POINTS,MEDIUM,158.703,228.055,NO_POINTS_rate=0.724
session_20260704_145249,standing_3m,right_person,1,LOW_POINTS,LOW,158.703,228.055,LOW_POINTS_rate=0.976
session_20260704_145249,standing_3m,right_person,1,RENDER_NOT_CONFIRMED,LOW,158.703,228.055,no per-row render visibility field available in mmWave pose logs
session_20260704_145249,standing_4m,left_person,2,TRACK_MISSING,MEDIUM,234.055,303.406,tracking_presence_rate=0.430
session_20260704_145249,standing_4m,left_person,2,POSE_ROW_MISSING,MEDIUM,234.055,303.406,pose_presence_rate=0.430
session_20260704_145249,standing_4m,left_person,2,TID_SWITCH_OR_COMPETING_TID,MEDIUM,234.055,303.406,"competing tids={1: 1262, 2: 542}"
session_20260704_145249,standing_4m,left_person,2,NO_POINTS,MEDIUM,234.055,303.406,NO_POINTS_rate=0.967
session_20260704_145249,standing_4m,left_person,2,LOW_POINTS,LOW,234.055,303.406,LOW_POINTS_rate=0.996
session_20260704_145249,standing_4m,left_person,2,RENDER_NOT_CONFIRMED,LOW,234.055,303.406,no per-row render visibility field available in mmWave pose logs
session_20260704_145249,standing_4m,right_person,1,TID_SWITCH_OR_COMPETING_TID,MEDIUM,234.055,303.406,"competing tids={1: 1262, 2: 542}"
session_20260704_145249,standing_4m,right_person,1,NO_POINTS,MEDIUM,234.055,303.406,NO_POINTS_rate=0.849
session_20260704_145249,standing_4m,right_person,1,LOW_POINTS,LOW,234.055,303.406,LOW_POINTS_rate=0.983
session_20260704_145249,standing_4m,right_person,1,RENDER_NOT_CONFIRMED,LOW,234.055,303.406,no per-row render visibility field available in mmWave pose logs
session_20260704_145249,standing_5m,left_person,4,TRACK_MISSING,HIGH,309.406,378.757,tracking_presence_rate=0.260
session_20260704_145249,standing_5m,left_person,4,POSE_ROW_MISSING,HIGH,309.406,378.757,pose_presence_rate=0.260
session_20260704_145249,standing_5m,left_person,4,TID_SWITCH_OR_COMPETING_TID,MEDIUM,309.406,378.757,"competing tids={1: 1259, 4: 328}"
