expected_distance_m_num,expected_subpose_norm,expected_position_norm,windows,segments,person_instances,old_display_posture_accuracy,raw_probability_posture_accuracy,standing_accuracy,sitting_accuracy,false_sitting_on_standing,false_sitting_on_standing_3m,false_standing_on_sitting,upright_sitting_accuracy,lean_back_sitting_accuracy,lean_forward_sitting_accuracy,disappearance_rate,ui_visible_rate,NO_POINTS_rate,LOW_POINTS_rate,geom_pts_mean,range_error_mean,people_count_mean
2.0,SITTING_UPRIGHT,RIGHT,222,1,1,0.9504504504504504,0.9954954954954955,0.0,0.9504504504504504,0.0,0.0,0.0,0.9504504504504504,0.0,0.0,0.013617497051589019,1.0,0.7759595920283113,0.9522986984025348,0.7411980840660133,1.0404111879980884,2.0
2.0,STANDING,CENTER,837,2,4,0.967741935483871,0.7718040621266428,0.967741935483871,0.0,0.0047789725209080045,0.0,0.0,0.0,0.0,0.0,0.015084831239015965,0.9920136878000635,0.5393997059661152,0.9232149841284538,1.6284848857368124,0.15042010034317058,1.0
2.0,STANDING,LEFT,470,2,2,0.8872340425531915,0.7893617021276595,0.8872340425531915,0.0,0.01702127659574468,0.0,0.0,0.0,0.0,0.0,0.010255195241197463,0.9631702518267962,0.5907431698302176,0.8874933679128408,2.0948184614085945,0.23918703915963285,1.5319148936170213
2.0,STANDING,RIGHT,470,2,2,0.7914893617021277,0.6978723404255319,0.7914893617021277,0.0,0.1574468085106383,0.0,0.0,0.0,0.0,0.0,0.016160571105768556,0.9961243854908501,0.7498133857904832,0.9379816092813262,1.140110001714579,0.20250713248927138,1.5319148936170213
3.0,SITTING_LEAN_BACK,CENTER,1183,2,6,0.2704987320371936,0.3245984784446323,0.0,0.2704987320371936,0.0,0.0,0.6821639898562976,0.0,0.2704987320371936,0.0,0.013398616004613229,0.9732530226457353,0.829941816398969,0.9518899198565449,0.7188131405083034,0.09866903824372326,1.0
3.0,SITTING_LEAN_BACK,LEFT,379,2,2,0.10554089709762533,0.1820580474934037,0.0,0.10554089709762533,0.0,0.0,0.841688654353562,0.0,0.10554089709762533,0.0,0.02541862812740222,0.9807175748295037,0.8187034425615523,0.9157931383324299,1.0731167118745433,0.40401738131542425,1.3905013192612137
3.0,SITTING_LEAN_BACK,RIGHT,481,2,2,0.553014553014553,0.6548856548856549,0.0,0.553014553014553,0.0,0.0,0.40332640332640335,0.0,0.553014553014553,0.0,0.011462326175972705,1.0,0.8786747696308039,0.9612962977055032,0.6382453373049802,0.3014071844477249,1.5197505197505197
3.0,SITTING_LEAN_FORWARD,CENTER,389,1,2,0.390745501285347,0.583547557840617,0.0,0.390745501285347,0.0,0.0,0.583547557840617,0.0,0.0,0.390745501285347,0.016150840978333865,0.9901523913591772,0.7853767605864751,0.9397773486225657,1.1130596936547723,0.9688386422380104,1.0
3.0,SITTING_LEAN_FORWARD,LEFT,48,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06085785246969455,1.0,1.0,1.0,0.0,0.10177069195818604,2.0
3.0,SITTING_LEAN_FORWARD,RIGHT,222,1,1,1.0,0.08108108108108109,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.012114987956619045,1.0,0.9756546280135658,1.0,0.03518213466648744,0.23566069293176634,2.0
3.0,SITTING_UPRIGHT,CENTER,477,1,2,0.350104821802935,0.4758909853249476,0.0,0.350104821802935,0.0,0.0,0.6310272536687631,0.350104821802935,0.0,0.0,0.00851334650573312,1.0,0.714630771776341,0.9483317443209311,0.8684740544762871,0.33702422843132485,1.0
3.0,SITTING_UPRIGHT,LEFT,10,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.7833067756751967,0.32272727272727275,0.26454545454545453,1.0,2.243636363636363,0.8800684463805581,2.0
