window_id,session_id,segment_id,person_slot,assigned_tid,window_size_s,window_start_s,window_end_s,expected_pose,expected_subpose,expected_distance_m,expected_position,people_count,old_display_pred,raw_prob_pred,stand_prob_mean,sit_prob_mean,sit_minus_stand_mean,range_m_mean,range_error_m,geom_pts_mean,NO_POINTS_rate,LOW_POINTS_rate,OK_rate,ui_visible_rate,disappearance_rate,tracking_presence_rate,pose_presence_rate,pose_switch_count,tid_switch_count,visibility_reliability_label
session_20260703_205540::leanback_1m::center::2s::14,session_20260703_205540,leanback_1m,center,3,2.0,242.625,244.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,STANDING,0.4742745780631116,0.4461734138037029,-0.0281011642594086,1.1696059996519756,0.16960599965197565,0.2105263157894736,0.868421052631579,1.0,0.0,1.0,0.0,1.0555555555555556,1.0555555555555556,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::2s::15,session_20260703_205540,leanback_1m,center,3,2.0,243.625,245.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.4585902568621513,0.4616938997537662,0.0031036428916148,1.1686599795131345,0.1686599795131345,0.3076923076923077,0.7692307692307693,1.0,0.0,1.0,0.0,1.1470588235294117,1.1470588235294117,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::2s::16,session_20260703_205540,leanback_1m,center,3,2.0,244.625,246.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.3925550026553018,0.5346225355352674,0.1420675328799656,1.1683930717604112,0.16839307176041118,0.5142857142857142,0.6857142857142857,1.0,0.0,1.0,0.0,1.0,1.0,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::2s::17,session_20260703_205540,leanback_1m,center,3,2.0,245.625,247.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.3628846506987299,0.5677107555525643,0.2048261048538344,1.1655399065935323,0.16553990659353235,0.9142857142857144,0.5714285714285714,1.0,0.0,1.0,0.0789473684210526,0.9210526315789472,0.9210526315789472,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::2s::18,session_20260703_205540,leanback_1m,center,3,2.0,246.625,248.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.3222794756293297,0.607028918830972,0.2847494432016423,1.1596227519180182,0.15962275191801822,0.7368421052631579,0.631578947368421,1.0,0.0,1.0,0.0256410256410256,0.9743589743589745,0.9743589743589745,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::2s::19,session_20260703_205540,leanback_1m,center,3,2.0,247.625,249.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.3518331661406491,0.5664178364806705,0.2145846703400214,1.1575812756444748,0.15758127564447477,0.25,0.8611111111111112,1.0,0.0,1.0,0.0526315789473684,0.9473684210526316,0.9473684210526316,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::2s::20,session_20260703_205540,leanback_1m,center,3,2.0,248.625,250.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,STANDING,0.4609904674922718,0.4427236187107422,-0.0182668487815295,1.158371194932501,0.15837119493250107,0.0294117647058823,0.9705882352941176,1.0,0.0,1.0,0.081081081081081,0.918918918918919,0.918918918918919,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::2s::21,session_20260703_205540,leanback_1m,center,3,2.0,249.625,251.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.4510339337426263,0.4529013295431395,0.0018673958005131,1.1567300982303856,0.15673009823038564,0.054054054054054,0.945945945945946,1.0,0.0,1.0,0.0,1.0277777777777777,1.0277777777777777,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::2s::22,session_20260703_205540,leanback_1m,center,3,2.0,250.625,252.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.4299839374266173,0.4702167605098925,0.0402328230832752,1.1558856740504155,0.15588567405041553,0.0789473684210526,0.9210526315789472,1.0,0.0,1.0,0.0,1.0555555555555556,1.0555555555555556,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::2s::23,session_20260703_205540,leanback_1m,center,3,2.0,251.625,253.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.4229474859802346,0.4783277974316948,0.0553803114514601,1.1554393307982664,0.15543933079826644,0.1578947368421052,0.8947368421052632,1.0,0.0,1.0,0.0,1.0555555555555556,1.0555555555555556,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::2s::24,session_20260703_205540,leanback_1m,center,3,2.0,252.625,254.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.3829358800461417,0.5293663395078558,0.1464304594617141,1.1514886885619615,0.15148868856196152,0.3157894736842105,0.868421052631579,1.0,0.0,1.0,0.0,1.0,1.0,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::2s::25,session_20260703_205540,leanback_1m,center,3,2.0,253.625,255.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.3398106149915192,0.5774039377768835,0.2375933227853642,1.146812141186062,0.1468121411860619,1.3888888888888888,0.6944444444444444,0.9444444444444444,0.0555555555555555,1.0,0.0526315789473684,0.9473684210526316,0.9473684210526316,0,0,DEGRADED
session_20260703_205540::leanback_1m::center::2s::26,session_20260703_205540,leanback_1m,center,3,2.0,254.625,256.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,STANDING,SITTING,0.2121125332390268,0.7187386701504389,0.5066261369114121,1.146930866565815,0.1469308665658151,2.305555555555556,0.3888888888888889,0.8611111111111112,0.1388888888888889,1.0,0.0769230769230768,0.9230769230769232,0.9230769230769232,1,0,DEGRADED
session_20260703_205540::leanback_1m::center::3s::6,session_20260703_205540,leanback_1m,center,3,3.0,237.625,240.625,SITTING,SITTING_LEAN_BACK,1.0,CENTER,1,SITTING,STANDING,0.461537553505464,0.4582618724216114,-0.0032756810838525,1.1702645246488022,0.17026452464880215,0.1818181818181818,0.8727272727272727,1.0,0.0,1.0,0.0,1.0377358490566038,1.0377358490566038,1,0,DEGRADED
